selection_round,sample_id,SMILES,Score
0,224096,Cc1nc2c(cc1C(=O)NCc1ccccc1-c1ccc(CN(C)C)cc1)c(C)nn2C,-9.0
0,138186,O=C1C2CC=CCC2C(=O)N1CN1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,-9.3
0,516945,CC(=O)c1cccc(NC(=O)c2cc(-c3ccco3)nc3onc(C)c23)c1,-8.5
0,41669,O=C(CN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)NC1CCCc2ccccc21,-9.8
0,434893,COc1cc(NC(=O)c2cc(C)n(-c3ccc4c(c3)OCCO4)c2C)ccc1N1CCCC1=O,-8.6
0,5,O=C(Nc1nc(-c2cccc3ccccc23)cs1)c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,-12.1
0,200146,CC(=O)N1N=C(c2c(-c3ccc(Cl)cc3)c3ccccc3[nH]c2=O)CC1c1ccccc1F,-9.1
0,115493,O=c1c2ccccc2nc(SCc2cn3cc(Cl)ccc3n2)n1-c1ccc(F)cc1F,-9.3
0,837308,CC(C)c1ccc(C(=O)O)cc1S(=O)(=O)Nc1cccc2[nH]ncc12,-8.1
0,179943,O=C(C1COc2ccccc2O1)N1CCCC1c1nc2ccccc2s1,-9.1
0,31308,CS(=O)(=O)c1ccc(NN=Cc2cn(-c3ccccc3)nc2-c2cc3ccccc3oc2=O)cc1,-9.9
0,518143,c1ccc2oc(-c3noc(COCC4CCCO4)n3)cc2c1,-8.5
0,23473,Cc1cc(C)c(C)c(C(=O)COC(=O)c2ccc3nc4c5ccccc5c5ccccc5c4nc3c2)c1C,-10.0
0,124680,O=c1c2c(-c3ccccc3)csc2ncn1CC(O)COc1ccccc1F,-9.3
0,14,O=C(COC(=O)c1c2c(nc3ccccc13)C(=Cc1ccccc1)CC2)c1ccc2c(c1)-c1ccccc1C2,-12.0
0,32509,COc1ccc(C2CC(c3c(-c4ccc(Cl)cc4)c4ccccc4[nH]c3=O)=NN2C(=S)Nc2ccccc2)cc1,-9.9
0,255993,C=CCn1c(SCn2nnc3ccccc3c2=O)nc2scc(-c3cccs3)c2c1=O,-9.0
0,177580,Cc1ccc(CN(c2cccc(S(=O)(=O)N3CCCC3)c2)S(=O)(=O)c2cccs2)cc1,-9.1
0,267310,CNC(=O)c1cccc(CCNC(=O)c2cccc3nn[nH]c23)c1,-8.9
0,329718,Cc1sc2nc(C(C)Sc3ncnc4scc(-c5ccc(F)cc5)c34)[nH]c(=O)c2c1C,-8.8
0,11146,O=C(NCC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccco1,-10.2
0,619785,OCc1cn(-c2ccccc2)nc1-c1cc2ccccc2o1,-8.4
0,4167,CC1(c2cccc(-n3cnnn3)c2)NC(=O)N(Cc2ccc(-c3ccccc3)cc2)C1=O,-10.6
0,927173,CC(C)(C)c1ccccc1OCC(O)Cn1nc(C(N)=O)c2ccccc2c1=O,-8.0
0,69245,O=C(NC(c1ccc(Cl)cc1)C1CC1)c1nn(-c2ccccc2)c(=O)c2ccccc12,-9.6
0,25,O=c1c2ccc3c(=O)n4c5cccc6cccc(nc4c4ccc(c2c34)c2nc3ccccc3n12)c65,-11.8
0,993807,Cc1ccc2c(c1)nc(-c1cnc(N3CCCC3)nc1)n2C,-8.0
0,436288,Clc1cccc(OCCOc2ccc3ncccc3c2)c1,-8.6
0,1165020,CCn1c(=O)c(C(=O)CN2CCN(C(=O)c3cccs3)CC2)c(N)n(Cc2ccccc2)c1=O,-7.8
0,111494,Cc1cc(C=NN2C(=O)c3ccccc3C2=O)c(C)n1-c1cccc(S(=O)(=O)N2CCOCC2)c1,-9.4
0,30,O=C1Nc2ccccc2C1=NNc1nnc(-c2cccc3ccccc23)c2ccccc12,-11.8
0,856069,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CN2C(=O)N(C)C(C)(C)C2=O)cc1OC,-8.1
0,35447,O=C(CSc1nnc(-c2ccccc2F)n1C1CC1)N1CCC(c2nc3ccccc3s2)CC1,-9.8
0,992345,Cc1noc(Cl)c1CC(=O)NC(c1ccc2c(c1)OCCO2)C(C)C,-8.0
0,1579931,Cc1nc(SCc2cc(C)on2)c2ccccc2n1,-7.2
0,536683,CC(=NNC(=O)c1sc(-c2ccc(Cl)cc2)cc1N)c1ccc2c(c1)OCO2,-8.5
0,179087,O=C(NCC1(Cc2ccc(F)cc2)CCCC1O)c1cnn(-c2ccccc2F)c1,-9.1
0,41631,O=C1OC(c2ccccc2)Cc2cc(C(=O)N3CCN(Cc4nc5ccccc5s4)CC3)ccc21,-9.8
